ID,Tweet,Affect Dimension,intensity
2018-En-01657,Saw my first Larsen trap today with stressed magpie. I NEVER EVER want to see that again  #angry #distressed #wildlife,anger,0.844
2018-En-01152,"@Argos_Online customer service is dreadful, phone bill is huge and get passed from person 2 person and keep taking money off my card #idiots",anger,0.813
2018-En-04125,Lost my appetite for the past 5 days and I swear I already lost 3 pounds #depressing #at #least #i #will #be #skinny #for #pride #weekend,anger,0.531
2018-En-02516,Great...So I got up at 5am only to discover that my Amazon Prime Day deal was $30 more than the regular price. 😡,anger,0.806
2018-En-02314,What's worse than feeling discouraged? Not finding an emoji for feeling discouraged,anger,0.547
2018-En-03180,@GirlPosts @_matdtaylor actually how annoyed you get 😂,anger,0.597
2018-En-04198,@Zineeta_R @RusEmbUSA @mfa_russia The hatred and fear many russians have for anything non-russian is just sad.,anger,0.672
2018-En-00477,@BBCBreaking I have some mistrust of the medical profession.  The cover up was more important than the patients.,anger,0.547
2018-En-03249,Israel's recent overtures towards West Africa seems to be attracting some elements of suspicion...an unnecessary suspicion though.,anger,0.438
2018-En-03238,@hollloman @nessa_babbby @ajvannozzi97 As half a set of twins I resent that!,anger,0.609
2018-En-02366,"I feel exhausted ...\nI tried to do a good job, but apparently God does not see me right. I'm weary! I EXIST! 😟💔📢\n#exist #weary #misonorotta",anger,0.613
2018-En-02651,Why have #Emmerdale had to rob #robron of having their first child together for that vile woman/cheating sl smh #bitter,anger,0.703
2018-En-01435,@o_pebbles Not of this one sadly! 😪,anger,0.563
2018-En-01124,How come quiet well behaved cats and dogs have to ride on a plane in a tiny bag while screaming small humans roam free? #outrage #teampet,anger,0.656
2018-En-00159,Hey @NHSEngland imagine being blue lighted to hospital unable to breathe only to be dumped in a cubicle and not seen for 4 hours #horrendous,anger,0.766
2018-En-03058,@ThomasEWoods I would like to hear a podcast of you going off refuting her entire article. Extra indignation please.,anger,0.5
2018-En-03920, and disarmed of her equipment on suspicion of being a potential accomplice to Annie Leonhart.,anger,0.516
2018-En-03853,"[ @TheChicMystique ] — hurting badly and that he can't just leave him like that. Angry and heartless. ]\n\nI promise you that I'll be back, —",anger,0.719
2018-En-01719,@michaelsloan87 @SkyFootball The disappointment when it's actually a new club sponsor! 😂,anger,0.422
2018-En-02934,Are u #depressed #hypo #manic #lonely #bored #nofriends #needfreinds #friend I feel chatty I wanna help ppl or just #makefriend 's #dm #moms,anger,0.424
2018-En-03611,Shit getting me irritated 😠,anger,0.844
2018-En-01944,@_elliegillxx @0liviarobertson Poor Lyn 😂😂😂 livv I hope she forgets yours this year in revenge,anger,0.453
2018-En-00599,I literally hate Paul so much #pissed 😂,anger,0.313
2018-En-03760,@amjadhussain73 @MehreenFaruqi Don't waste your time on that Muslim crap. Ups you are Arab too. 😂 😂 😂 Greatings fro Pauline Hanson. 😂 😂 😂,anger,0.455
2018-En-00318,calling me ugly isn't even an insult bc i know already,anger,0.547
2018-En-02298,What do I do with my heart that is trembling by just the thought of it?\nI really know what hate is,anger,0.377
2018-En-01603,Russia story will infuriate Trump today. Media otherwise would be giving him tongue bath for fall of ISIS in Mosul + al-Baghdadi death.,anger,0.484
2018-En-03243,There's still sadness and hatred pero i do feel better than yesterday.,anger,0.625
2018-En-01634,Outside has basically become a horror movie where gypsy moths take over the world by flitting aggressively about.\n\n#creaturedoublefeature,anger,0.594
2018-En-02677,"@JackRuff4 They have this horrible pudding here. Butterscotch pudding on Mondays, it's dreadful. #Fringe",anger,0.578
2018-En-02079,@Delta.  Are you kidding?  Delayed from 7:30pm to 11:00 - only to cancel it because the pilot is overtime. ,anger,0.844
2018-En-03948,She mad sus hung up on me 😂,anger,0.438
2018-En-01685,My dog wouldn't stop barking so now I'm up at eight am with a raging headache,anger,0.734
2018-En-02683,Yes @itv2 @LoveIsland putting that Angel @MikeThalassitis back in the villa was the best move #revenge #returnofthemike #LoveIsland #hot,anger,0.359
2018-En-04005,"Please ruin this party, @NSWRL. #origin #blues",anger,0.453
2018-En-00938,@_Oteraw unhappy and unfulfilled 😂,anger,0.438
2018-En-04213,How shit and depressing is this weather wish I can travel the world for a living,anger,0.636
2018-En-00836,Threaten to leave your girl shaking in a wet spot ....,anger,0.438
2018-En-02438,@MafiaWorldMario Stg everybody say that 😂 then when we tell them they got huff they be mad as shit,anger,0.606
2018-En-00862,You would think booking a holiday for 2 you'd be sat next to each other on the bloody plane #fuming 😡@ThomsonHolidays,anger,0.75
2018-En-01796,"you annoy me, your name annoys me, your EVERYTHING annoys me 🙃",anger,0.828
2018-En-00002,'to fill his campaign bank account with tens of millions of dollars'..trump 2020 campaign to start now #sad  #bad,anger,0.515
2018-En-04002,and after i got home in such a horrible mood my mom pissed me off the moment i stepped my feet in the house so i really almost go off on her,anger,0.931
2018-En-03337,@JoshuaRozenberg Oh dear! #tantrums,anger,0.5
2018-En-00991,What should I do to teach people effectively? #questions  #sad #begging #angry ,anger,0.375
2018-En-02760,feminists must have it the hardest. Imagine controlling that rage due to having to dance,anger,0.516
2018-En-01350,Some people are shady a'f ,anger,0.563
2018-En-03269,"Listening to these refugee children, barely a decade old, describe the horrific acts they were forced to commit is terrifying. #DatelineSBS",anger,0.609
2018-En-00709,Man I feel like crap today 😰,anger,0.531
2018-En-00581,i excepted the eclipse to make me believe in an omniscience force #dissapointed,anger,0.641
2018-En-03941,Someone's nicked my lunch out the fridge at work!! Roast dinner as well! #fuming,anger,0.797
2018-En-04062,#PhoenixRally #Deplorables insult and denigrate #JohnMcCain as he struggles with treatment for #glioblastoma #impeach45 incites ,anger,0.698
2018-En-01481,Literally kicking myself for not catching up on GOT and now all I see is SPOILERS #pissed,anger,0.844
2018-En-00133,I think I'll eternally be irritated by our LIT teacher 😂,anger,0.516
2018-En-03749,  She's a bully for fat shaming the governor. Great example she's setting for her grandson.,anger,0.5
2018-En-01568,@silverstein 13th time seeing you guys today and you cancel the meet and greet because of the storm. We're all soaked.. 😡 #dissapointed,anger,0.797
2018-En-00688,@AwardsDaily Looks that way.  I don't want to see how Q is going to handle Tate murder.  #shudder,anger,0.547
2018-En-01059," Elderly belong w/family; our social system is broken.  This egregious 'Mean care' will shake it up, alas.",anger,0.688
2018-En-03355,@del_krushnic I knw you have a temper paaa lol just chill dear don't be pissed waii or I will else worry u saaa but I'm sorry 😫,anger,0.469
2018-En-00118,There's nothing interesting here besides of retweet for follow #annoyed 😣😣,anger,0.859
2018-En-00941,@ProfessorF @Mediaite @law_newz Childish temper #tantrums are all the left has left. :),anger,0.53
2018-En-01132,@izzyaline burning up damn,anger,0.656
2018-En-02149,Freakin a...I deleted half the episode of BIP on accident  #bachelorinparadise,anger,0.641
2018-En-00628,"Can't handle rude people. Doesn't matter what job you do, a consultant or not, treat people how you would like to be treated 😡 #disapointed",anger,0.75
2018-En-03073,@AmyJoSmyth #OOC Thing is she holds a grudge like mad,anger,0.625
2018-En-00438,Do people notice that only saying 'You're so pretty' when I have make-up on. Is offense! \n&amp; I take note that they never say it when I don't.,anger,0.545
2018-En-02063,"4 hours. \n4,189 words.\n1 story.\n#amwriting #horror #publishorperish",anger,0.406
2018-En-02378,How sick must someone be that they wish to 'punish' someone for not being their friend?  #insecure #lonely #miserable #vengeful #RHOC,anger,0.773
2018-En-02484,The same part of roof bar (driver's side) are stolen from Grand Vitara cars. Let it be known. This is really #disheartening #brunei,anger,0.622
2018-En-03381,🇿🇦has become a place where people even the most timid of us all are baying for blood around every corner.,anger,0.516
2018-En-00790,"Been at work for not even 4 hours and I've thrown boiling tea everywhere, smashed a mug, smashed a milk jug and sliced my finger open😐",anger,0.833
2018-En-00716,@badpostyoongi I know for a fact they'll either ignore the fact tiff isn't or change Cindy's background,anger,0.455
2018-En-03036,So now I have to buy a whole new computer  #hate #it,anger,0.547
2018-En-01253,@theIeansquad @SatanHeavenly Rap is so unbearable and horrific.,anger,0.682
2018-En-01671,"Nigga write me talking bout I dreamt about you, cool I hope I was haunting you in a nightmare",anger,0.636
2018-En-03640, Have you tried English hospital food ?? #gross ,anger,0.5
2018-En-01889,"@itskaiouji Noooo, Sunbae-nim! Don't tease me like that- 😤",anger,0.531
2018-En-02097,"Now that Ravi Shastri is finally appointed as the head coach, it'll be interesting to see whether Kohli finally stops throwing his tantrums.",anger,0.438
2018-En-03498,@PamelaGeller Disgusting. @facebook you just may end up like #snap. #traitor,anger,0.656
2018-En-00613,Can't stand it when lads put their middle finger up in pics ,anger,0.719
2018-En-03798,"@angrydwarf9 @carolinesandall It ruins my frigging night each night at 9pm. Mrs loves it, i've been early to bed for a month. #dreadful",anger,0.672
2018-En-01838,@maidinaustralia D: That's horrid. *hugs*,anger,0.5
2018-En-02236,@kylegriffin1 #outrage police\ntelling a woman she looks nice for her age is apparently sexist.\nYou #FakeNews people are #crazy,anger,0.581
2018-En-02517,United Airline at Newark needs more Kiosks so that people won't miss their cut off time.  And hire more ppl too.  #horrible,anger,0.682
2018-En-01648,@Lythero *hugs himself hoping Doom shows up to insult everyone*,anger,0.422
2018-En-00689,That moment when you look back and realise you've been a #selfish #horrible #judgemental person. #FeelingAshamed,anger,0.594
2018-En-01284,@BrettKeeble I guess it never. @smartassunit #worry,anger,0.469
2018-En-04148,"@chelston_dsouza Conte is furious with his board, wants all of them or he quits.",anger,0.547
2018-En-01362,"@CNN thanks Hollywood, (Depp). all these climate change fanatics using private jets and gas guzzling cars are to blame for this! #outrage",anger,0.694
2018-En-00970,very very irritated 😐,anger,0.871
2018-En-04348,@KeenanRuggeri You would have been raging as it was probably put in place instead of an extra crisp,anger,0.609
2018-En-02386,Hmm...looks like no one @Tampax is available to respond. Its like waiting for a #doomsday reply. That #burning question with no #answer,anger,0.652
2018-En-01474,Didn't know the @ChickfilA cow day thing ended at 7:30 so showed up 30 min late looking like a cow with no sandwich #sadness 😅😅😅,anger,0.5
2018-En-03643,@WhiteJennyB @EmreUslu jenny white  u r the dumbest here .. What r u trying ? Get lost..,anger,0.813
2018-En-01354,@LoveMyFFAJacket FaceTime - we can still annoy you 😂,anger,0.29
2018-En-04276,"His interlocutor burst out laughing several times at his answers; and more than ever, when to the question, ‘ whether he had been cured?�",anger,0.258
2018-En-01472,"O, the melancholy Catacombs quickly wandered about the Rue Morgue, Madman!",anger,0.532
2018-En-03719,"The blackest abyss of despair, Alonzo",anger,0.453
2018-En-02296,"Imagine how many ksones are crying right now for not getting tickets 😭 Meanwhile, isones dont even get a chance to go on war for tickets 😭",anger,0.703
2018-En-04314,Please stop ruining my depressing memes with your positivity and optimism,anger,0.475
2018-En-04274,@Cmdr_Hadfield CNN's Wolf Blitzer calls you an American astronaut and you don't correct him? #dissapointed,anger,0.609
2018-En-02352,#AmericasGotTalent live shows with so many technical faults #disheartening,anger,0.545
2018-En-02523,"@vinsquat67 It was indeed, I was raging at the verdict. Can't imagine how the poor lassies family felt.",anger,0.636
2018-En-01833,@duthie @Carabao_Cup Lets not mention this again! #QPRvBRE ,anger,0.469
2018-En-03843,If @TheRock's Presidential run is as bad as his appearance in #Baywatch neither party need fear his run. That's $8 I'll never get back #crap,anger,0.672
2018-En-03289,"Like I might've set it down on top of my car &amp; if so, that shit is long gone 😭 ",anger,0.588
2018-En-03805,@Ben_Ripley42 I dont know but you seem to have annoyed her 😄,anger,0.545
2018-En-03781,"when everyone you know has died because of a treaty you had no involvement in drawing up, you get an enormous amount of fury",anger,0.594
2018-En-02963,Fucking fuming is an understatement,anger,0.727
2018-En-00880,"@RoflCritic @NBTDilli @SudamaNBT ,BJP MCD busy collection of suvidha sulk from unauthorised colonies",anger,0.439
2018-En-00459,Wtf shawty ass on 😤,anger,0.563
2018-En-01501,#LouiseLinton - haters gonna hate keep on being your#fabulous self they'll keep on being  #miserable,anger,0.339
2018-En-02612,#depressed Today was bitter sweet watching all the kids go back to school made me really miss my babies. I'm so broke #backtoschool2017,anger,0.591
2018-En-00520,Quite possibly the worst anthems I've ever heard in pro sports by both singers. I wish I was deaf. #ASG2017 #mlb #MLBAllStarGame ,anger,0.672
2018-En-03330,"@NitashaKaul @Snehakaul2Kaul so beautiful dear, thanks,everybody knows it is in benefit of India &amp; GOI has done this terror attack as before",anger,0.406
2018-En-03322,Definitely something happening today #SolarEclipse2017 #weird #annoyed,anger,0.773
2018-En-01360,I haven't lost weight but I appear smaller and I'm pissed 🙄,anger,0.823
2018-En-03133,@PayPalUK have well &amp; truly done me over the day before I go on holiday! #fuming,anger,0.645
2018-En-03970,@Jarrius Send me a FR: Jaygerrr and I'll smoke you on madden when it comes out 😂🤙,anger,0.344
2018-En-03010,I just watched the video that i took at troye's concert last year  now im crying i miss him @troyesivan 😭,anger,0.391
2018-En-02017,#revenge marathon has begun ⚡,anger,0.531
2018-En-03338,@0510Keisuke devour the unborn\nhuman rejection\nfrom wrath to ruins,anger,0.652
2018-En-04173,Time for a #burst #burstcoin fork??,anger,0.406
2018-En-02512,Is it supposed to be this arduous to interact with other people? I'm 'other people' to them and they don't seem to struggle. ,anger,0.453
2018-En-01678,"@ehtesham_toi @RaviShastriOfc unfortunate decision, our players are more of superstars than cricketers. BCCI scared of their tantrums.",anger,0.563
2018-En-01335,@AGlyndwr @TeaPainUSA All I know is the sentence will start with 'look...' like any high school punk would start a threat.,anger,0.438
2018-En-00156,@byunsolo I DIDN'T ASK FOR THIS EITHER IT JUST HAPPENED 😤,anger,0.621
2018-En-04047,"Blah blah blah Kyrie, IT, etc. @CJC9BOSS leaving Boston is the real news and I am #devastated! #celtics #fave  #someonegetmeajerseyteeasap",anger,0.609
2018-En-02502,Nah but as a governor how do you call someone a bum &amp; that you love calls from 'communist in Montclair' ? 😂 #crying,anger,0.5
2018-En-01810,Can't Talk To An Incompetent Person. Goes In One Ear and Out The Other. #irritated #NoPoint #MassiveEyeRoll,anger,0.844
2018-En-03237,was one moron  driving his oversize tonka truck with the big flag in the bed back and forth blaring country music. 😐 #disappointment,anger,0.625
2018-En-03823,@FFigureFBust How so? I've been thinking of getting it done and now you've given me a frighten.,anger,0.456
2018-En-02781,The sound of rain is pretty peaceful when you're in a very annoyed mood 😅,anger,0.375
2018-En-04332,@1720maryknoll I was #fuming Kenny.,anger,0.656
2018-En-01627,@comrade_islaboy HAHAHAHAHA. Hornet's nest. Let them sting each other.,anger,0.475
2018-En-01328,"coffee the floor; And the soul grew furious as the stillness broken by little,",anger,0.459
2018-En-02820,"@SRuhle @MSNBC Sebestian Gorka, what a arrogant A~hole! Has no business speaking! ",anger,0.806
2018-En-00832,@skh4808 @theveteran425FA @TomiLahren Then why'd they wait until now to start getting pissy? ,anger,0.719
2018-En-01733,"@thatradiogeek That is a tremendous thing to wake up to and read, man. Glad to hear it, as we need WAY more people helping with this.",anger,0.197
2018-En-00982,@freemanstanzan2 you're a cowan... that means you're a slimebag. I wouldn't trust you as far as I could throw you. #arsehole @StuartHarker1,anger,0.813
2018-En-04328,Holding on to anger is like drinking poison and expecting the other person to die.\n#KissablesLoveSMShopmag\nAllOutDenimFor KISSMARC,anger,0.485
2018-En-02524,"1/If the Church is being attacked with such fury, and from the inside, that means that the Church is exactly what we need to belong to!",anger,0.424
2018-En-02703,"Don't let hatred grow in you, otherwise everything in your life will be affected. It will distract ; anger you. It will often end in regret.",anger,0.29
2018-En-03733,Oh @BentleySystems what hast thou done to thy configurations? #despair,anger,0.682
2018-En-00728,"since the last episode of fight for my way is airing tonight ;  will probably watch it together, do y'all think  might take revenge",anger,0.438
2018-En-02475,And I will eat the end of term chocolates we bought as well! #fuming #doesntdeservethem #mightbedead,anger,0.565
2018-En-04123,Very high bond for unrelated offense.  Cops and FBI are digging on a property. Me fears this doesn't end well for families,anger,0.406
2018-En-02070,"I click on download on my PC. Message says 'Thank you for downloading #iTunes \nSo, where's the download?! #frustrated ",anger,0.859
2018-En-02032,Chyna didnt respond to rob cus she knew damn well she was plottin. But i knew he hurt her deeply with that revenge porn,anger,0.47
2018-En-03406,Letting go of anger is key to happiness. Please help me let go of these angry feelings. #happiness #anger,anger,0.379
2018-En-00162,@mickyrivera29 interesting but a transfer too costly. You can only irritate others when you get a top talent for a low/ avg fee,anger,0.578
2018-En-00332,@IainDale @LBC The only word worse than 'moist' in my opinion is 'scrape'. #ugh #shudder,anger,0.581
2018-En-01821,"Won't be watching ESPN anymore, they took Robert Lee off because of HIS name, PC Police, what insanity! more #hatred #bigots #LeftwingNutJob",anger,0.891
2018-En-04103,@Jack_Septic_Eye Grass growing simulator is offended,anger,0.563
2018-En-03658,"That was absolutely the two worst National Anthem singers I've ever heard, both of them screwed up the words #awful",anger,0.823
2018-En-02083,Seriously about to smack someone in the face 😵 #arsehole,anger,0.922
2018-En-02180,Just paid out my arsehole for a couple of New Found Glory tickets but it's gonna be a GREAT start to my birthday weekend 👊,anger,0.394
2018-En-03803,@UNESCO Remember not to spread #hatred and #fakenews on the internet. Do not abuse #Hashtag10 for spreading #ArabNationalism!,anger,0.621
2018-En-00062,#LoiuseLinton has become the female #MartinShkreli. Most hated woman in America. That takes some skill. #entitlement  #notcute,anger,0.606
2018-En-00120,@junkersquawker Oh lords. That would have had my blood boiling,anger,0.625
2018-En-01502,@Activehours I need someone to reply back to me immediately. I am not happy and not getting timely responses through the app! #help ,anger,0.781
2018-En-02975,"@SteveBakerHW When it comes to CREDIBLE scare stories George Osbourne is crap, still at it I see.",anger,0.609
2018-En-00076,@1ncamera @Weehugs @DavidYoungPA @PA Stupidity is part of their proud cultural identity. 😠,anger,0.79
2018-En-03715,#Rage and #disappointment man.... Is that life or what? Lol,anger,0.606
2018-En-03107,Why are girls so bad at letting shit go? That's prolly why they're moody. They're all built up with grudges and anger and regret. 😂,anger,0.656
2018-En-02316,today i feel like an exposed wire dangerously close to another exposed wire and any provocation will fry me,anger,0.734
2018-En-00256,@rosieblossoms_ What a miserable piece of shit 😡,anger,0.955
2018-En-03916,Got woken up by a road sweeper I was trying to sleep ,anger,0.594
2018-En-01239,maybe me and joey should have ignored each other on tinder and posted it on social media for a trip to Hawaii ☹️ #bitter,anger,0.672
2018-En-01524,@NRO @Acosta @CNN @realDonaldTrump remember when NRO gave CNN grief about their relentless HC email crusade? me either.,anger,0.5
2018-En-00171,"﻿2|206|When it is said to him, 'Fear Allah', He is led by arrogance to (more) crime. Enough for him is Hell;-",anger,0.645
2018-En-04370,WAIT...Lawrence's friend dragged the fuck outta him!! ,anger,0.621
2018-En-01408,@3lectric5heep Well that must sting doesn't it @CNN ?,anger,0.344
2018-En-02937,I have actually watch drugs destroy an entire family 😢Mother's on skid row. Oldest daughter lost her child. Father is estranged. #horrific,anger,0.672
2018-En-00014,"Or all of it, with our displeasure pieced, #shakespeare",anger,0.438
2018-En-04352,#Twitter these days is just a massive critical debate on those that people don't like #annoying #depressing and #dull 😑,anger,0.719
2018-En-01538,"If u #smile too much😀\nu get frown lines,\nif u #cry too much😣 \nu get eye wrinkles,\n\n🔂 laugh&amp;cry\n\n ...it's #life 💗\n\nHave a great day\n\n🍯🐝's",anger,0.076
2018-En-01312,Why does @DANCEonFOX get rudely interrupted by the worst thing ever imaginable?!? Ugggg #irritated,anger,0.875
2018-En-01190,if you wake up somewhere else...you will know some #arsehole has pressed a button ;),anger,0.613
2018-En-03038,James Clapper 'scary and disturbing'.  #25thAmendmentNow #ImpeachTrump  #terrified #nuclearcodes  #Godhelpus,anger,0.597
2018-En-03875,Everything I order online just comes looking like a piece of shit 😤,anger,0.864
2018-En-03279,Alright Alex and I have party boy neighbors who blast music ,anger,0.435
2018-En-00292,"I live 30 miles away from work, &amp; arrived to realise laptop is still on the bed. ",anger,0.578
2018-En-00135,And I'm really pissed the fuck off because I do a good job of keeping my kid well because I don't like to see her sick and sad.,anger,0.922
2018-En-04092,why don't the kids on my street have msn or something to play on instead of enjoying themselves outside #bitter #shush,anger,0.609
2018-En-03990,"That you have banished your own sadness, the way I am? #somber",anger,0.433
2018-En-03236,@andyfleming83 Bastard squirrels. 😡,anger,0.844
2018-En-02845,Literally hanging on by a thread need some taylor ray tonight loving a bad dog sucks #taylorrayholbrook #hurting @TaylorRaysTweet,anger,0.656
2018-En-00622,"@nextofficial placed order for nearly a grand SIX weeks ago, called yesterday, order 'missing' and no call back today! #shocking",anger,0.767
2018-En-04291,"@UKSportsZone In other words, I don't like the result of the poll so I'm packing up my polls &amp; taking them home while I pout. 😂😂😻 #bbn",anger,0.545
2018-En-02447,"When the lights shut off and it's my turn to settle down, my main concern...",anger,0.375
2018-En-00184, we're offended. Lol,anger,0.344
2018-En-03320,UP students really out there raging against tuition collection #freeeducationnow,anger,0.563
2018-En-01895,Sarah is a complete lunatic. How Chad is still giving her his time is beyond me. #cbb #mad #crazy,anger,0.817
2018-En-03252,@AliceT120 @shaney_waney1 @shaney_waney1 u horrible non gender binary boy go fangirl over some mediocre singers who CANT EVEN SUPPORT,anger,0.75
2018-En-01589,@ParkerMolloy @KFILE Very misleading heading. Not to mention an agenda driven article. ,anger,0.578
2018-En-01974,"You can have a certain #arrogance, and I think that's fine, but what you should never lose is the #respect for the others.",anger,0.478
2018-En-01449,This is because of people like Saleem Sheikh humanity wins over terrorism n hatred #AmarnathYatraAttacked,anger,0.532
2018-En-01824,God this match is dull #Wimbledon,anger,0.531
2018-En-03622,Why the FUCK have i just saw a Game of Thrones spoiler on snapchat? SOME OF US HAVENT SAW IT YET 🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻 #arsehole,anger,0.855
2018-En-00997,At this point I can't tell if I just follow more people in politics on twitter now or if I need new friends. #wheresthefunny #depressing,anger,0.594
2018-En-03951,If I have to hear one more time how I am intimidate men... I'm going to explode! Why are guys these days so pussified?,anger,0.766
2018-En-00957,get the fuck over yourselves. we are the most capable and you wanna sit and sulk in your bullshit and fear of failure honestly fuck yourself,anger,0.813
2018-En-03955,What is this miserable ass weather all about 😭 dark and gloomy #depressing #weekoff #wheresthesun,anger,0.773
2018-En-02397,It's such a strange juxtaposition of emotions. A sense of euphoria but a sense of out most despair.,anger,0.531
2018-En-01820,Afridi !!! 100 off 42 !! #mad,anger,0.71
2018-En-00807,@virtualalien there are more #frightening things in life\n\n#BeyondTheSphereOfReasonableDoubt,anger,0.545
2018-En-02354,So @Ryanair site crashes everytime I try to book - how do they help? Tell me there's nothing wrong &amp; hang up #furious #helpless @SimonCalder,anger,0.71
2018-En-02646,"Beware the wrath of an angry, frustrated, #agile grandma with a network. 👵🏼😡 I'm just sayin'. #objectlesson",anger,0.703
2018-En-00749,#anxious don't know why ................. #worry 😶 slowly going #mad hahahahahahahahaha,anger,0.563
2018-En-02424,work is going to kill me and 5 o'clock is nowhere near 😟,anger,0.656
2018-En-00334,Migraine hangover has to be the worst thing ever 😣 #burst,anger,0.688
2018-En-02727,Each and every time I log on to that website to view the Lindsey Vonn pics I am #saddened by the courseness of our culture.,anger,0.594
2018-En-03680,@theAliceRoberts @FryRsquared @AdamRutherford They've obviously never tried 'repressing' a red head #fiery,anger,0.594
2018-En-03471,I'm sorry but also...fuck you #currentfeels #anger #bpd #eupd #borderliner #mentalhealth #anxiety #depression #confused,anger,0.797
2018-En-03935,"Went to bed a 1:30, fell asleep after, my niece started crying at 4. I'm dying... 😧",anger,0.688
2018-En-01097,@washingtonpost @silvajanes How awful!!!!!!,anger,0.672
2018-En-01887,"If you sit back, watch &amp; listen to every .@TheDemocrats &amp; .@DNC member, you'll quickly learn it's #Victimhood, #racism, &amp; #hatred. I'm #WOKE",anger,0.697
2018-En-00866,"@RanaAyyub @rajnathsingh Oh, hidden revenge and anger...I rememberthe time,she rebutted you.",anger,0.641
2018-En-03846,Some 'friends' get bitter when it seems your life is moving better than theirs.,anger,0.656
2018-En-03879,I swear to god my husband is gonna get us murdered by someone with road rage because he drives like he's in the Indy 500,anger,0.773
2018-En-02025,When did it all started? All these depression &amp; anxiety shits?All these suicide thoughts?All of these bad thoughts thts hugging me at night?,anger,0.724
2018-En-03686,@MikeAndMike @Buster_ESPN if you get time.. @Orioles buyers it sellers or what are we going to do!!?! #panic,anger,0.581
2018-En-03488,I wish EVERYONE could see how #MSNBC #CNN talked over trumps speech.  You ALL should be ashamed of the along with the sheep followers. ,anger,0.516
2018-En-03750,and i shouldve cut them off the moment i started hurting myself over them :o,anger,0.609
2018-En-02394,"@LeahRemini  A 'religion' that pushes people to suicide, and punishes you for doing the right thing?? #heartbreaking",anger,0.688
2018-En-01659,I'm soooo annoyed. Wait to start my morning.,anger,0.907
2018-En-03361,if not then #teamchristine bc all tana has done is provoke her by tweeting shady shit and trying to be a hard bitch begging for a fight,anger,0.656
2018-En-02930,Perks of having that shit: I lost a friend somewhere along in the bitterness,anger,0.788
2018-En-02557,Time to #impeachtrump . He is #crazy #mentally #sick and spews #hatred . #America is in trouble with him having #access to #nuclearcodes 👎👎,anger,0.813
2018-En-02497,"Had frustration dream that left me utterly f**king furious. Plus side: so angry couldn't sleep, wrote 1500 words. Minus side: still raging!",anger,0.844
2018-En-02696,"@TorridFashion I love you, but between online order drama and your horrible hold music I have a bit of a shopping induced headache. #annoyed",anger,0.778
2017-En-10264,@xandraaa5 @amayaallyn6 shut up hashtags are cool #offended,anger,0.562
